station,station_name,,ddate,prcp
GHCND:GQC00914727,PIRATES COVE US,,7/9/2005,0.15
GHCND:GQC00914727,PIRATES COVE US,,7/10/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,7/11/2005,0
GHCND:GQC00914727,PIRATES COVE US,,7/12/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,7/13/2005,0
GHCND:GQC00914727,PIRATES COVE US,,7/14/2005,0
GHCND:GQC00914727,PIRATES COVE US,,7/15/2005,0.85
GHCND:GQC00914727,PIRATES COVE US,,7/16/2005,0.66
GHCND:GQC00914727,PIRATES COVE US,,7/17/2005,0.16
GHCND:GQC00914727,PIRATES COVE US,,7/18/2005,0.05
GHCND:GQC00914727,PIRATES COVE US,,7/19/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,7/20/2005,0
GHCND:GQC00914727,PIRATES COVE US,,7/21/2005,0.83
GHCND:GQC00914727,PIRATES COVE US,,7/22/2005,1.94
GHCND:GQC00914727,PIRATES COVE US,,7/23/2005,0.63
GHCND:GQC00914727,PIRATES COVE US,,7/24/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,7/25/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,7/26/2005,0
GHCND:GQC00914727,PIRATES COVE US,,7/27/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,7/28/2005,0.15
GHCND:GQC00914727,PIRATES COVE US,,7/29/2005,0
GHCND:GQC00914727,PIRATES COVE US,,7/30/2005,0.28
GHCND:GQC00914727,PIRATES COVE US,,7/31/2005,0.16
GHCND:GQC00914727,PIRATES COVE US,,8/1/2005,0.08
GHCND:GQC00914727,PIRATES COVE US,,8/2/2005,0
GHCND:GQC00914727,PIRATES COVE US,,8/3/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,8/4/2005,0.38
GHCND:GQC00914727,PIRATES COVE US,,8/5/2005,0.22
GHCND:GQC00914727,PIRATES COVE US,,8/6/2005,0.11
GHCND:GQC00914727,PIRATES COVE US,,8/7/2005,0.33
GHCND:GQC00914727,PIRATES COVE US,,8/8/2005,0.41
GHCND:GQC00914727,PIRATES COVE US,,8/9/2005,0.06
GHCND:GQC00914727,PIRATES COVE US,,8/10/2005,0.72
GHCND:GQC00914727,PIRATES COVE US,,8/11/2005,0.18
GHCND:GQC00914727,PIRATES COVE US,,8/12/2005,0.79
GHCND:GQC00914727,PIRATES COVE US,,8/13/2005,0.09
GHCND:GQC00914727,PIRATES COVE US,,8/14/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,8/15/2005,0.16
GHCND:GQC00914727,PIRATES COVE US,,8/16/2005,1.14
GHCND:GQC00914727,PIRATES COVE US,,8/17/2005,0.06
GHCND:GQC00914727,PIRATES COVE US,,8/18/2005,0
GHCND:GQC00914727,PIRATES COVE US,,8/19/2005,0
GHCND:GQC00914727,PIRATES COVE US,,8/20/2005,0
GHCND:GQC00914727,PIRATES COVE US,,8/21/2005,0.13
GHCND:GQC00914727,PIRATES COVE US,,8/22/2005,0.3
GHCND:GQC00914727,PIRATES COVE US,,8/23/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,8/24/2005,0.69
GHCND:GQC00914727,PIRATES COVE US,,8/25/2005,0.25
GHCND:GQC00914727,PIRATES COVE US,,8/26/2005,1.1
GHCND:GQC00914727,PIRATES COVE US,,8/27/2005,3.6
GHCND:GQC00914727,PIRATES COVE US,,8/28/2005,0.77
GHCND:GQC00914727,PIRATES COVE US,,8/29/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,8/30/2005,0.28
GHCND:GQC00914727,PIRATES COVE US,,8/31/2005,0.44
GHCND:GQC00914727,PIRATES COVE US,,9/1/2005,6.7
GHCND:GQC00914727,PIRATES COVE US,,9/2/2005,0.33
GHCND:GQC00914727,PIRATES COVE US,,9/3/2005,0.22
GHCND:GQC00914727,PIRATES COVE US,,9/4/2005,0.04
GHCND:GQC00914727,PIRATES COVE US,,9/5/2005,0.43
GHCND:GQC00914727,PIRATES COVE US,,9/6/2005,1.44
GHCND:GQC00914727,PIRATES COVE US,,9/7/2005,1.56
GHCND:GQC00914727,PIRATES COVE US,,9/8/2005,0.72
GHCND:GQC00914727,PIRATES COVE US,,9/9/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,9/10/2005,0.38
GHCND:GQC00914727,PIRATES COVE US,,9/11/2005,0.15
GHCND:GQC00914727,PIRATES COVE US,,9/12/2005,1.17
GHCND:GQC00914727,PIRATES COVE US,,9/13/2005,0.28
GHCND:GQC00914727,PIRATES COVE US,,9/14/2005,1.17
GHCND:GQC00914727,PIRATES COVE US,,9/15/2005,0.1
GHCND:GQC00914727,PIRATES COVE US,,9/16/2005,0.78
GHCND:GQC00914727,PIRATES COVE US,,9/17/2005,0.71
GHCND:GQC00914727,PIRATES COVE US,,9/18/2005,2.23
GHCND:GQC00914727,PIRATES COVE US,,9/19/2005,0.06
GHCND:GQC00914727,PIRATES COVE US,,9/20/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,9/21/2005,1.23
GHCND:GQC00914727,PIRATES COVE US,,9/22/2005,0.17
GHCND:GQC00914727,PIRATES COVE US,,9/23/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,9/24/2005,0.43
GHCND:GQC00914727,PIRATES COVE US,,9/25/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,9/26/2005,0.18
GHCND:GQC00914727,PIRATES COVE US,,9/27/2005,0.18
GHCND:GQC00914727,PIRATES COVE US,,9/28/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,9/29/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,9/30/2005,0
GHCND:GQC00914727,PIRATES COVE US,,10/1/2005,1
GHCND:GQC00914727,PIRATES COVE US,,10/2/2005,0.13
GHCND:GQC00914727,PIRATES COVE US,,10/3/2005,0.2
GHCND:GQC00914727,PIRATES COVE US,,10/4/2005,0.05
GHCND:GQC00914727,PIRATES COVE US,,10/5/2005,0.5
GHCND:GQC00914727,PIRATES COVE US,,10/6/2005,0.28
GHCND:GQC00914727,PIRATES COVE US,,10/7/2005,0.17
GHCND:GQC00914727,PIRATES COVE US,,10/8/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,10/9/2005,0.18
GHCND:GQC00914727,PIRATES COVE US,,10/10/2005,3.1
GHCND:GQC00914727,PIRATES COVE US,,10/11/2005,0.57
GHCND:GQC00914727,PIRATES COVE US,,10/12/2005,1.19
GHCND:GQC00914727,PIRATES COVE US,,10/13/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,10/14/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,10/15/2005,0.16
GHCND:GQC00914727,PIRATES COVE US,,10/16/2005,0.53
GHCND:GQC00914727,PIRATES COVE US,,10/17/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,10/18/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,10/19/2005,0.04
GHCND:GQC00914727,PIRATES COVE US,,10/20/2005,0.04
GHCND:GQC00914727,PIRATES COVE US,,10/21/2005,0.06
GHCND:GQC00914727,PIRATES COVE US,,10/22/2005,0.44
GHCND:GQC00914727,PIRATES COVE US,,10/23/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,10/24/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,10/25/2005,0.1
GHCND:GQC00914727,PIRATES COVE US,,10/26/2005,0.15
GHCND:GQC00914727,PIRATES COVE US,,10/27/2005,0.25
GHCND:GQC00914727,PIRATES COVE US,,10/28/2005,0.18
GHCND:GQC00914727,PIRATES COVE US,,10/29/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,10/30/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,10/31/2005,0.66
GHCND:GQC00914727,PIRATES COVE US,,11/1/2005,0.33
GHCND:GQC00914727,PIRATES COVE US,,11/2/2005,0.14
GHCND:GQC00914727,PIRATES COVE US,,11/3/2005,0.05
GHCND:GQC00914727,PIRATES COVE US,,11/4/2005,0
GHCND:GQC00914727,PIRATES COVE US,,11/5/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,11/6/2005,0.05
GHCND:GQC00914727,PIRATES COVE US,,11/7/2005,0.22
GHCND:GQC00914727,PIRATES COVE US,,11/8/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,11/9/2005,0.09
GHCND:GQC00914727,PIRATES COVE US,,11/10/2005,0.27
GHCND:GQC00914727,PIRATES COVE US,,11/11/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,11/12/2005,0
GHCND:GQC00914727,PIRATES COVE US,,11/13/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,11/14/2005,2.36
GHCND:GQC00914727,PIRATES COVE US,,11/15/2005,0.17
GHCND:GQC00914727,PIRATES COVE US,,11/16/2005,0.57
GHCND:GQC00914727,PIRATES COVE US,,11/17/2005,0.18
GHCND:GQC00914727,PIRATES COVE US,,11/18/2005,0
GHCND:GQC00914727,PIRATES COVE US,,11/19/2005,0.11
GHCND:GQC00914727,PIRATES COVE US,,11/20/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,11/21/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,11/22/2005,0
GHCND:GQC00914727,PIRATES COVE US,,11/23/2005,0
GHCND:GQC00914727,PIRATES COVE US,,11/24/2005,0.27
GHCND:GQC00914727,PIRATES COVE US,,11/25/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,11/26/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,11/27/2005,0.2
GHCND:GQC00914727,PIRATES COVE US,,11/28/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,11/29/2005,0
GHCND:GQC00914727,PIRATES COVE US,,11/30/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,12/1/2005,0
GHCND:GQC00914727,PIRATES COVE US,,12/2/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,12/3/2005,0
GHCND:GQC00914727,PIRATES COVE US,,12/4/2005,0
GHCND:GQC00914727,PIRATES COVE US,,12/5/2005,0
GHCND:GQC00914727,PIRATES COVE US,,12/6/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,12/7/2005,0.07
GHCND:GQC00914727,PIRATES COVE US,,12/8/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,12/9/2005,0.07
GHCND:GQC00914727,PIRATES COVE US,,12/10/2005,0.04
GHCND:GQC00914727,PIRATES COVE US,,12/11/2005,0.08
GHCND:GQC00914727,PIRATES COVE US,,12/12/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,12/13/2005,0.05
GHCND:GQC00914727,PIRATES COVE US,,12/14/2005,0
GHCND:GQC00914727,PIRATES COVE US,,12/15/2005,0.06
GHCND:GQC00914727,PIRATES COVE US,,12/16/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,12/17/2005,0
GHCND:GQC00914727,PIRATES COVE US,,12/18/2005,0.06
GHCND:GQC00914727,PIRATES COVE US,,12/19/2005,0.04
GHCND:GQC00914727,PIRATES COVE US,,12/20/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,12/21/2005,0.03
GHCND:GQC00914727,PIRATES COVE US,,12/22/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,12/23/2005,0
GHCND:GQC00914727,PIRATES COVE US,,12/24/2005,0.32
GHCND:GQC00914727,PIRATES COVE US,,12/25/2005,0.08
GHCND:GQC00914727,PIRATES COVE US,,12/26/2005,0
GHCND:GQC00914727,PIRATES COVE US,,12/27/2005,0.2
GHCND:GQC00914727,PIRATES COVE US,,12/28/2005,0.17
GHCND:GQC00914727,PIRATES COVE US,,12/29/2005,0.02
GHCND:GQC00914727,PIRATES COVE US,,12/30/2005,0.86
GHCND:GQC00914727,PIRATES COVE US,,12/31/2005,0.01
GHCND:GQC00914727,PIRATES COVE US,,1/1/2006,0.14
GHCND:GQC00914727,PIRATES COVE US,,1/2/2006,0.05
GHCND:GQC00914727,PIRATES COVE US,,1/3/2006,0.09
GHCND:GQC00914727,PIRATES COVE US,,1/4/2006,0
GHCND:GQC00914727,PIRATES COVE US,,1/5/2006,0.01
GHCND:GQC00914727,PIRATES COVE US,,1/6/2006,0.16
GHCND:GQC00914727,PIRATES COVE US,,1/7/2006,0.33
GHCND:GQC00914727,PIRATES COVE US,,1/8/2006,0
GHCND:GQC00914727,PIRATES COVE US,,1/9/2006,0.33
GHCND:GQC00914727,PIRATES COVE US,,1/10/2006,0.48
GHCND:GQC00914727,PIRATES COVE US,,1/11/2006,0.02
GHCND:GQC00914727,PIRATES COVE US,,1/12/2006,0.02
GHCND:GQC00914727,PIRATES COVE US,,1/13/2006,0.02
GHCND:GQC00914727,PIRATES COVE US,,1/14/2006,0.04
GHCND:GQC00914727,PIRATES COVE US,,1/15/2006,0.73
GHCND:GQC00914727,PIRATES COVE US,,1/16/2006,0.07
GHCND:GQC00914727,PIRATES COVE US,,1/17/2006,0.01
GHCND:GQC00914727,PIRATES COVE US,,1/18/2006,0.71
GHCND:GQC00914727,PIRATES COVE US,,1/19/2006,0
GHCND:GQC00914727,PIRATES COVE US,,1/20/2006,0.09
